Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
demogorgon-decorativo-premium;Demogorgon Decorativo Premium;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;4 a 7 dias;18.51;;0.148;23;10;16;10;REAL-0003;;SIM;NÃO;"<p><strong>Demogorgon Decorativo Premium</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento pintado à mão. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 4 a 7 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, geek,colecionavel,decoracao,pintado-mao;Demogorgon Decorativo Premium | Impressão 3D MDH3D;Demogorgon Decorativo Premium em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 4 a 7 dias.;MDH3D;SIM;REAL-0003;;;
mascote-tematica-jedi-colecionavel;mascote temática Jedi Colecionável;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;4 a 7 dias;13.00;;;;;;10;MDH3D-0025;;SIM;NÃO;"<p><strong>mascote temática Jedi Colecionável</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento pintado à mão. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 4 a 7 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, geek,jedi,colecionavel;mascote temática Jedi Colecionável | Impressão 3D MDH3D;mascote temática Jedi Colecionável em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 4 a 7 dias.;MDH3D;SIM;MDH3D-0025;;;
stencil-dupla-sci-fi-decorativo;Stencil dupla sci-fi Decorativo;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;2 a 4 dias;20.35;;;;;;10;MDH3D-0026;;SIM;NÃO;"<p><strong>Stencil dupla sci-fi Decorativo</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento fosco. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 2 a 4 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, stencil,sci-fi,decoracao;Stencil dupla sci-fi Decorativo | Impressão 3D MDH3D;Stencil dupla sci-fi Decorativo em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 2 a 4 dias.;MDH3D;SIM;MDH3D-0026;;;
personagem-de-humor-mascote-eletrico-mashup-colecionavel;personagem de humor mascote elétrico Mashup Colecionável;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;4 a 7 dias;13.00;;;;;;10;MDH3D-0027;;SIM;NÃO;"<p><strong>personagem de humor mascote elétrico Mashup Colecionável</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento pintado à mão. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 4 a 7 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, geek,mashup,colecionavel;personagem de humor mascote elétrico Mashup Colecionável | Impressão 3D MDH3D;personagem de humor mascote elétrico Mashup Colecionável em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 4 a 7 dias.;MDH3D;SIM;MDH3D-0027;;;
boneca-infantil-personalizada;Boneca Infantil Personalizada;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;4 a 7 dias;20.35;;;;;;10;MDH3D-0028;;SIM;NÃO;<p><strong>Boneca Infantil Personalizada</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento pintado à mão. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 4 a 7 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, boneca,infantil,personalizado;Boneca Infantil Personalizada | Impressão 3D MDH3D;Boneca Infantil Personalizada em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 4 a 7 dias.;MDH3D;SIM;MDH3D-0028;;;
organizador-de-artesanato-ajustavel-para-artesanato;Organizador de Artesanato Ajustável para artesanato;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;;;;;10;MDH3D-0029;;SIM;NÃO;<p><strong>Organizador de Artesanato Ajustável para artesanato</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento texturizado. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, artesanato,organizador,ajustavel;Organizador de Artesanato Ajustável para artesanato | Impressão 3D MDH3D;Organizador de Artesanato Ajustável para artesanato em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0029;;;
bandeja-criativa-slim-para-pecas-pequenas;Bandeja Criativa Slim para peças pequenas;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;;;;;10;MDH3D-0030;;SIM;NÃO;<p><strong>Bandeja Criativa Slim para peças pequenas</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento texturizado. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, bandeja,pecas-pequenas,organizacao;Bandeja Criativa Slim para peças pequenas | Impressão 3D MDH3D;Bandeja Criativa Slim para peças pequenas em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0030;;;
organizador-infantil-de-mesa-para-estudo-com-frente-baixa;Organizador Infantil de Mesa para estudo com frente baixa;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;;;;;10;MDH3D-0031;;SIM;NÃO;<p><strong>Organizador Infantil de Mesa para estudo com frente baixa</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento texturizado. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, infantil,mesa,estudo,organizador;Organizador Infantil de Mesa para estudo com frente baixa | Impressão 3D MDH3D;Organizador Infantil de Mesa para estudo com frente baixa em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0031;;;
porta-retrato-3d-mini-para-presente;Porta-Retrato 3D Mini para presente;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;;;;;10;MDH3D-0032;;SIM;NÃO;<p><strong>Porta-Retrato 3D Mini para presente</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, porta-retrato,3d,presente;Porta-Retrato 3D Mini para presente | Impressão 3D MDH3D;Porta-Retrato 3D Mini para presente em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0032;;;
nome-3d-personalizado-minimalista-para-quarto-e-porta;Nome 3D Personalizado Minimalista para quarto e porta;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;11.17;;;;;;10;MDH3D-0033;;SIM;NÃO;<p><strong>Nome 3D Personalizado Minimalista para quarto e porta</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, nome-3d,personalizado,quarto,porta;Nome 3D Personalizado Minimalista para quarto e porta | Impressão 3D MDH3D;Nome 3D Personalizado Minimalista para quarto e porta em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0033;;;
letreiro-de-mesa-leve-para-mesa-e-evento;Letreiro de Mesa Leve para mesa e evento;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;;;;;10;MDH3D-0034;;SIM;NÃO;<p><strong>Letreiro de Mesa Leve para mesa e evento</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, letreiro,mesa,eventos;Letreiro de Mesa Leve para mesa e evento | Impressão 3D MDH3D;Letreiro de Mesa Leve para mesa e evento em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0034;;;
placa-de-nome-dobravel-para-presente-personalizado;Placa de Nome Dobrável para presente personalizado;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;11.17;;;;;;10;MDH3D-0035;;SIM;NÃO;<p><strong>Placa de Nome Dobrável para presente personalizado</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, placa-nome,presente,personalizado;Placa de Nome Dobrável para presente personalizado | Impressão 3D MDH3D;Placa de Nome Dobrável para presente personalizado em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0035;;;
placa-de-nome-compacto-para-presente-personalizado;Placa de Nome Compacto para presente personalizado;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;13.00;;;;;;10;MDH3D-0036;;SIM;NÃO;<p><strong>Placa de Nome Compacto para presente personalizado</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, placa-nome,compacto,presente;Placa de Nome Compacto para presente personalizado | Impressão 3D MDH3D;Placa de Nome Compacto para presente personalizado em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0036;;;
organizador-de-artesanato-de-bancada-para-artesanato;Organizador de Artesanato de Bancada para artesanato;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;8.41;;0.062;5;9;14;10;MW-A1-487;;SIM;NÃO;<p><strong>Organizador de Artesanato de Bancada para artesanato</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento texturizado. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, artesanato,bancada,organizador;Organizador de Artesanato de Bancada para artesanato | Impressão 3D MDH3D;Organizador de Artesanato de Bancada para artesanato em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MW-A1-487;;;
bandeja-de-dados-compacto-para-rpg-e-boardgame;Bandeja de Dados Compacto para RPG e boardgame;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0038;;SIM;NÃO;<p><strong>Bandeja de Dados Compacto para RPG e boardgame</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, rpg,boardgame,bandeja,dados;Bandeja de Dados Compacto para RPG e boardgame | Impressão 3D MDH3D;Bandeja de Dados Compacto para RPG e boardgame em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0038;;;
organizador-de-pecas-de-jogo-slim-para-hobby-criativo;Organizador de Peças de Jogo Slim para hobby criativo;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0039;;SIM;NÃO;<p><strong>Organizador de Peças de Jogo Slim para hobby criativo</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, jogos,hobby,organizacao;Organizador de Peças de Jogo Slim para hobby criativo | Impressão 3D MDH3D;Organizador de Peças de Jogo Slim para hobby criativo em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0039;;;
bandeja-de-dados-dobravel-para-rpg-e-boardgame;Bandeja de Dados Dobrável para RPG e boardgame;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0040;;SIM;NÃO;<p><strong>Bandeja de Dados Dobrável para RPG e boardgame</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, rpg,boardgame,dobravel;Bandeja de Dados Dobrável para RPG e boardgame | Impressão 3D MDH3D;Bandeja de Dados Dobrável para RPG e boardgame em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0040;;;
medalha-maconica-personalizada;Medalha Maçônica Personalizada;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;2 a 5 dias;9.32;;0.042;0.8;6;6;10;REAL-0010;;SIM;NÃO;<p><strong>Medalha Maçônica Personalizada</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento colorido. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 2 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, medalha,personalizado,colorido,presente;Medalha Maçônica Personalizada | Impressão 3D MDH3D;Medalha Maçônica Personalizada em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 2 a 5 dias.;MDH3D;SIM;REAL-0010;;;
suporte-para-controle-modular-para-setup;Suporte para Controle Modular para setup;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0042;;SIM;NÃO;<p><strong>Suporte para Controle Modular para setup</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, controle,modular,setup;Suporte para Controle Modular para setup | Impressão 3D MDH3D;Suporte para Controle Modular para setup em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0042;;;
base-gamer-compacta-slim-para-organizar-controles;Base Gamer Compacta Slim para organizar controles;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0043;;SIM;NÃO;<p><strong>Base Gamer Compacta Slim para organizar controles</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, gamer,controle,base;Base Gamer Compacta Slim para organizar controles | Impressão 3D MDH3D;Base Gamer Compacta Slim para organizar controles em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0043;;;
suporte-para-controle-minimalista-para-setup;Suporte para Controle Minimalista para setup;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0044;;SIM;NÃO;<p><strong>Suporte para Controle Minimalista para setup</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, controle,minimalista,setup;Suporte para Controle Minimalista para setup | Impressão 3D MDH3D;Suporte para Controle Minimalista para setup em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0044;;;
dock-para-controle-modular-para-console-e-mesa;Dock para Controle Modular para console e mesa;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;8.41;;;;;;10;MDH3D-0045;;SIM;NÃO;<p><strong>Dock para Controle Modular para console e mesa</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, dock,controle,console;Dock para Controle Modular para console e mesa | Impressão 3D MDH3D;Dock para Controle Modular para console e mesa em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0045;;;
cavaleiro-medieval-mini;Cavaleiro Medieval Mini;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;;;;;10;MDH3D-0046;;SIM;NÃO;"<p><strong>Cavaleiro Medieval Mini</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, medieval,miniatura,geek;Cavaleiro Medieval Mini | Impressão 3D MDH3D;Cavaleiro Medieval Mini em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0046;;;
